Phase,Scenario_Name,Run,PopSize,Generation,Cr,Mr,Fitness
Phase 1: PopSize Test,S01_PopSize10,1,10,300,0.5,0.5,0.9421052631578948
Phase 1: PopSize Test,S01_PopSize10,2,10,300,0.5,0.5,0.9236842105263158
Phase 1: PopSize Test,S01_PopSize10,3,10,300,0.5,0.5,0.9289473684210526
Phase 1: PopSize Test,S01_PopSize10,4,10,300,0.5,0.5,0.9302631578947368
Phase 1: PopSize Test,S01_PopSize10,5,10,300,0.5,0.5,0.9394736842105263
Phase 1: PopSize Test,S01_PopSize10,6,10,300,0.5,0.5,0.9289473684210526
Phase 1: PopSize Test,S01_PopSize10,7,10,300,0.5,0.5,0.9263157894736842
Phase 1: PopSize Test,S01_PopSize10,8,10,300,0.5,0.5,0.9434210526315789
Phase 1: PopSize Test,S01_PopSize10,9,10,300,0.5,0.5,0.9289473684210526
Phase 1: PopSize Test,S01_PopSize10,10,10,300,0.5,0.5,0.9289473684210526
