Generation,Best_Fitness,Avg_Fitness,Std_Dev,Time_Elapsed
0,0.752105,0.720014,0.011518,0.37
1,0.752105,0.729095,0.009291,0.78
2,0.752105,0.736274,0.008794,1.22
3,0.752105,0.741877,0.010759,1.63
4,0.752105,0.746895,0.012082,2.02
5,0.753684,0.752081,0.000779,2.42
6,0.754737,0.752484,0.000644,2.81
7,0.757368,0.753635,0.001144,3.2
8,0.759474,0.755246,0.001538,3.65
9,0.763158,0.75773,0.001848,4.04
10,0.764737,0.760298,0.001505,4.43
11,0.77,0.762393,0.001853,4.83
12,0.771053,0.764986,0.002254,5.22
13,0.771053,0.767695,0.002029,5.62
14,0.772105,0.769846,0.001117,6.01
15,0.774211,0.770965,0.000869,6.4
16,0.776842,0.772053,0.00129,6.79
17,0.777368,0.773425,0.00128,7.19
18,0.778421,0.774884,0.001289,7.58
19,0.778421,0.7762,0.001052,8.04
20,0.781579,0.777249,0.000938,8.43
21,0.782632,0.778463,0.001222,8.82
22,0.782632,0.779884,0.001242,9.21
23,0.785263,0.78153,0.001421,9.6
24,0.785789,0.783007,0.001158,9.98
25,0.785789,0.784281,0.000923,10.36
26,0.788421,0.785221,0.000858,10.76
27,0.791053,0.786239,0.001324,11.15
28,0.791053,0.787621,0.001319,11.53
29,0.793684,0.789295,0.00128,11.92
30,0.796316,0.790989,0.00117,12.31
31,0.796316,0.792386,0.001506,12.76
32,0.798421,0.794298,0.001386,13.16
33,0.800526,0.795954,0.001391,13.56
34,0.800526,0.797758,0.001394,13.96
35,0.802632,0.799849,0.001336,14.36
36,0.803684,0.801319,0.001078,14.76
37,0.806842,0.802593,0.001013,15.15
38,0.806842,0.803782,0.001154,15.54
39,0.808947,0.805221,0.001196,15.94
40,0.808947,0.806688,0.001108,16.34
41,0.81,0.808021,0.000859,16.73
42,0.811053,0.809028,0.000705,17.18
43,0.811053,0.809877,0.000653,17.57
44,0.812105,0.81074,0.00054,17.95
45,0.813684,0.811702,0.000748,18.35
46,0.814211,0.812926,0.000803,18.74
47,0.815263,0.813768,0.000475,19.14
48,0.815789,0.814298,0.000468,19.53
49,0.816316,0.815014,0.000604,19.95
50,0.817368,0.815663,0.000604,20.36
51,0.818421,0.816372,0.000674,20.76
52,0.82,0.817168,0.000673,21.17
53,0.82,0.817874,0.000497,21.61
54,0.82,0.818488,0.000476,22.02
55,0.821053,0.819025,0.000531,22.43
56,0.821053,0.81967,0.00051,22.84
57,0.821579,0.820151,0.000431,23.24
58,0.822632,0.820498,0.000429,23.63
59,0.822632,0.820926,0.000532,24.05
60,0.822632,0.821298,0.000588,24.47
61,0.823684,0.82187,0.000675,24.87
62,0.823684,0.822488,0.000543,25.26
63,0.823684,0.82287,0.000441,25.66
64,0.824737,0.823249,0.000532,26.05
65,0.825263,0.823751,0.000414,26.48
66,0.825263,0.82406,0.000571,26.87
67,0.826316,0.824723,0.00066,27.27
68,0.827368,0.825421,0.000648,27.66
69,0.828421,0.826154,0.000605,28.05
70,0.828421,0.826716,0.000628,28.45
71,0.828421,0.827474,0.000634,28.83
72,0.828421,0.828077,0.000494,29.22
73,0.829474,0.828421,0.000122,29.62
74,0.830526,0.82847,0.000306,30.01
75,0.830526,0.828702,0.000639,30.41
76,0.830526,0.829368,0.000885,30.85
77,0.831579,0.830239,0.000613,31.23
78,0.831579,0.830632,0.000316,31.61
79,0.831579,0.83087,0.000494,31.99
80,0.831579,0.831323,0.00045,32.39
81,0.832632,0.831607,0.00017,32.77
82,0.832632,0.831747,0.000381,33.16
83,0.833158,0.832049,0.000527,33.54
84,0.833158,0.832568,0.000384,33.92
