Kelompok_ID,Total_Mahasiswa,HTQ_Count,HTQ_Percentage,LK_Count,PR_Count,LK_Ratio,PR_Ratio,Fakultas_Count,Jurusan_Count,Duplicate_Majors,Max_Major_Count,HTQ_Satisfied,Size_Satisfied,Gender_Satisfied,Duplication_Satisfied,Overall_Satisfied,Dominant_Fakultas,Dominant_Jurusan
1,13,2,15.384615384615385,4,9,0.3076923076923077,0.6923076923076923,5,9,2,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,BIOLOGI
2,7,1,14.285714285714285,3,4,0.42857142857142855,0.5714285714285714,4,6,1,2,True,False,True,True,False,SAINS DAN TEKNOLOGI,BAHASA DAN SASTRA INGGRIS
3,12,1,8.333333333333332,3,9,0.25,0.75,5,8,3,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,PSIKOLOGI
4,8,1,12.5,2,6,0.25,0.75,3,6,2,2,True,False,True,True,False,SYARI'AH,AL-AHWAL AL-SYAKHSHIYYAH
5,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,5,10,3,2,True,True,True,True,True,HUMANIORA,BAHASA DAN SASTRA INGGRIS
6,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,5,6,3,6,True,True,True,True,True,EKONOMI,AKUNTANSI
7,13,2,15.384615384615385,6,7,0.46153846153846156,0.5384615384615384,4,8,4,3,True,True,True,True,True,SYARI'AH,MANAJEMEN
8,12,2,16.666666666666664,4,8,0.3333333333333333,0.6666666666666666,5,8,2,4,True,True,True,True,True,PSIKOLOGI,PSIKOLOGI
9,10,1,10.0,4,6,0.4,0.6,5,8,1,3,True,False,True,True,False,HUMANIORA,BAHASA DAN SASTRA INGGRIS
10,13,1,7.6923076923076925,6,7,0.46153846153846156,0.5384615384615384,4,8,4,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,MANAJEMEN
11,12,1,8.333333333333332,5,7,0.4166666666666667,0.5833333333333334,4,8,3,3,True,True,True,True,True,SAINS DAN TEKNOLOGI,PERPUSTAKAAN DAN ILMU INFORMASI
12,13,1,7.6923076923076925,4,9,0.3076923076923077,0.6923076923076923,5,8,4,3,True,True,True,True,True,EKONOMI,AKUNTANSI
13,12,2,16.666666666666664,6,6,0.5,0.5,3,7,3,4,True,True,False,True,False,HUMANIORA,BAHASA DAN SASTRA INGGRIS
14,18,2,11.11111111111111,8,10,0.4444444444444444,0.5555555555555556,5,10,4,4,True,False,True,True,False,SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA
15,17,2,11.76470588235294,7,10,0.4117647058823529,0.5882352941176471,4,10,5,3,True,False,True,True,False,SYARI'AH,HUKUM BISNIS SYARI'AH
16,12,2,16.666666666666664,6,6,0.5,0.5,5,10,2,2,True,True,False,True,False,SYARI'AH,BAHASA DAN SASTRA INGGRIS
